restaurant_name,location,price_for_2,din_rating,din_count,del_rating,del_count
Roast And Grills - Green Park Hotel,"Green Park Hotel, Vadapalani",2000,4.2,877,None,Does not offer Delivery
Tryst Cafe,Neelangarai,800,4.1,627,4,1058
Chai Galli,Besant Nagar,600,4.3,688,4.2,360
Sea Mount,Aminijikarai,500,4,999,4,13300
Benjarong,Alwarpet,2000,4.7,848,4.3,201
Hotelkaar Biriyani,T. Nagar,350,4.1,1078,3.7,51700
Pandia's Avenue,Royapuram,750,4,419,4.2,6757
Nivis Kitchen,Egatoor,600,4.1,1191,3.7,17400
Al Ajwain,Porur,600,4.1,450,3.8,8359
Krispy Kreme,"Express Avenue Mall,Royapettah",400,4.6,711,4.2,748
Bindaas Rasoi,Sholinganallur,1000,4.3,851,3.6,1548
Curry and Spices,Kodambakkam,650,4.2,796,4,3470
Pangali Virundhu,Ambattur,450,4.1,311,4,2252
Aachi Chettinadu,Porur,400,4,324,3.5,13500
The Good Spot,Adyar,600,4.3,840,3.5,1574
Dragon's Den,Adyar,500,4.3,837,3.8,1076
Real Food Mall,Potheri,300,3.9,997,3.7,26900
Aqua - The Park,"The Park, Nungambakkam",2500,4.1,588,None,Does not offer Delivery
Night Eat,Choolaimedu,650,None,Does not offer Dining,3.9,20700
Up North - The Raintree,"The Raintree, Teynampet",2500,4.4,602,None,Not enough Delivery Reviews
Little North,Kilpauk,800,4.2,655,4.1,949
BNB Live Grill,Navallur,750,4.1,777,3.1,176
Mr. Sandwich,Pallavaram,150,3.5,517,2.7,6534
Rumali Restaurant,Potheri,300,3.9,677,3.7,26300
ID,"Sathyam Cinemas Complex, Royapettah",300,4.5,760,4.4,487
Dallay,Velachery,350,4.2,590,3.9,927
Coastal Aroma - Seafood Restaurant,Thuraipakkam,900,4.2,698,3.3,2712
Mithai Mandir,Vadapalani,300,4.3,438,4.2,936
Chennight Restaurant,Shenoy Nagar,400,None,Does not offer Dining,3.1,10
Once Upon A Time - Green Park Hotel,"Green Park Hotel, Vadapalani",1400,4.3,713,None,Not enough Delivery Reviews
Rangis',Nungambakkam,600,4.1,351,4.2,1717
Quality Restaurant,Selaiyur,600,3.9,241,3.7,4017
Excelent Biriyani,West Mambalam,300,3.8,489,3.8,19300
Zuka,Mylapore,700,4.4,715,4,93
Hola,Citadines,1200,4.2,649,3.8,477
Zeeshan Restaurant - Apna Hyderabadi Food,Perungudi,650,3.9,646,3.5,5474
Bay View - Taj Fisherman's Cove Resort & Spa,"Taj Fisherman's Cove Resort & Spa, Kanchipuram District",3500,4.4,678,None,Does not offer Delivery
Shiraz Art Cafe,Neelangarai,1100,4.4,700,None,Not enough Delivery Reviews
Absolute Thai,Foodies Kitchen,1000,4.5,692,4,197
Behrouz Biryani,Nungambakkam,700,None,Does not offer Dining,4.1,5154
Paprika - Courtyard by Marriott,"Courtyard by Marriott, Teynampet",2800,4.1,596,None,Not enough Delivery Reviews
Asian Station,Anna Nagar East,1500,4.3,633,4,829
Mana Andhra,Nungambakkam,600,4.1,551,4.2,1152
Kuuraku,Vadapalani,1200,4.5,358,3.9,42
